2025-05-30 16:40:13,993 - INFO - Starting Procify application
2025-05-30 16:40:13,994 - INFO - Initializing ProcessVisualizer
2025-05-30 16:40:14,561 - INFO - Starting process visualization
2025-05-30 16:40:35,900 - INFO - Initial process node created - PID: 3876, Name: armsvc.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:36,054 - INFO - Initial process node created - PID: 7972, Name: svchost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:36,211 - INFO - Initial process node created - PID: 1832, Name: svchost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:36,366 - INFO - Initial process node created - PID: 2856, Name: svchost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:36,484 - INFO - Initial process node created - PID: 8488, Name: explorer.exe, Memory: 1.1%, CPU: 0.0%
2025-05-30 16:40:36,601 - INFO - Initial process node created - PID: 17704, Name: taskhostw.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:36,755 - INFO - Initial process node created - PID: 3884, Name: OfficeClickToRun.exe, Memory: 0.2%, CPU: 0.0%
2025-05-30 16:40:36,909 - INFO - Initial process node created - PID: 2864, Name: svchost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:37,065 - INFO - Initial process node created - PID: 3376, Name: svchost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:37,224 - INFO - Initial process node created - PID: 4400, Name: svchost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:37,386 - INFO - Initial process node created - PID: 9012, Name: svchost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:37,567 - INFO - Initial process node created - PID: 14132, Name: IAStorDataMgrSvc.exe, Memory: 0.6%, CPU: 0.0%
2025-05-30 16:40:37,741 - INFO - Initial process node created - PID: 2872, Name: svchost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:37,954 - INFO - Initial process node created - PID: 3896, Name: svchost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:38,140 - INFO - Initial process node created - PID: 4408, Name: conhost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:38,281 - INFO - Initial process node created - PID: 16696, Name: conhost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:38,455 - INFO - Initial process node created - PID: 828, Name: services.exe, Memory: 0.1%, CPU: 43.0%
2025-05-30 16:40:38,637 - INFO - Initial process node created - PID: 2368, Name: svchost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:38,771 - INFO - Initial process node created - PID: 9024, Name: Cursor.exe, Memory: 0.6%, CPU: 0.0%
2025-05-30 16:40:38,880 - INFO - Initial process node created - PID: 9536, Name: UserOOBEBroker.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:38,988 - INFO - Initial process node created - PID: 4420, Name: python.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:39,098 - INFO - Initial process node created - PID: 13128, Name: powershell.exe, Memory: 0.4%, CPU: 0.0%
2025-05-30 16:40:39,211 - INFO - Initial process node created - PID: 3404, Name: firefox.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:39,325 - INFO - Initial process node created - PID: 12108, Name: firefox.exe, Memory: 0.2%, CPU: 0.0%
2025-05-30 16:40:39,468 - INFO - Initial process node created - PID: 8016, Name: Dell.TechHub.Instrumentation.UserProcess.exe, Memory: 0.5%, CPU: 0.0%
2025-05-30 16:40:39,613 - INFO - Initial process node created - PID: 2388, Name: svchost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:39,775 - INFO - Initial process node created - PID: 4440, Name: mDNSResponder.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:39,916 - INFO - Initial process node created - PID: 9048, Name: firefox.exe, Memory: 0.4%, CPU: 0.0%
2025-05-30 16:40:40,102 - INFO - Initial process node created - PID: 13656, Name: svchost.exe, Memory: 0.1%, CPU: 0.0%
2025-05-30 16:40:40,256 - INFO - Initial process node created - PID: 2908, Name: svchost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:40,417 - INFO - Initial process node created - PID: 8540, Name: svchost.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:40,575 - INFO - Initial process node created - PID: 4448, Name: TbtP2pShortcutService.exe, Memory: 0.0%, CPU: 0.0%
2025-05-30 16:40:40,709 - INFO - Initial process node created - PID: 9568, Name: svchost.exe, Memory: 0.1%, CPU: 0.0%
